id,parcel_id,inactive,name,rentable,type,primary_user,address_number,street,zip,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
1007721576,51-K-138,f,Osceola Park Building,f,Utility,CitiParks,NA,OSCEOLA ST,15224,https://tools.wprdc.org/images/pittsburgh/facilities/Osceola_Park_Building.jpg,Bloomfield,7,8,42003080400,2,8,5,3-1,40.45672408,-79.94242778
836558540,26-D-11,f,Bloomfield Pool and Recreation Center,f,Pool/Rec,CitiParks,408,ELLA ST,,https://tools.wprdc.org/images/pittsburgh/facilities/Bloomfield_Pool_and_Recreation_Center.jpg,Bloomfield,7,8,42003080200,2,8,5,3-1,40.46214499,-79.95361898
2125636448,51-N-61,f,Medic 09 Rescue 1,f,Medic Station,Department of Public Safety,800,S MILLVALE AVE,15213,https://tools.wprdc.org/images/pittsburgh/facilities/Medic_09_Rescue_1.jpg,Bloomfield,7,8,42003080400,2,8,5,2-23,40.45493837,-79.9480372
224929255,49-S-353,f,Paul Sciullo Memorial Park Storage Building,f,Storage,Department of Public Works,NA,DARSIE ST,,https://tools.wprdc.org/images/pittsburgh/facilities/Paul_Sciullo_Memorial_Park_Storage_Building.jpg,Bloomfield,7,8,42003080200,2,8,5,3-1,40.46219151,-79.95312839
2049853197,2-P-120,f,Finance Motorpool Building,f,Office,Department of Finance,700,SECOND AVE,15219,https://tools.wprdc.org/images/pittsburgh/facilities/Finance_Motorpool_Building.jpg,Bluff,6,1,42003010300,6,1,2,2-4,40.43521013,-79.99445511
133419833,2-L-121,f,Firehouse 04,f,Firehouse,Department of Public Safety,1324,FORBES AVE,15219,https://tools.wprdc.org/images/pittsburgh/facilities/Firehouse_04.jpg,Bluff,6,1,42003010300,3,1,2,2-4,40.43746253,-79.98717796
1966231398,2-P-299,f,Municipal Courts Building,f,Police,Department of Public Safety,660,FIRST AVE,15219,https://tools.wprdc.org/images/pittsburgh/facilities/Municipal_Courts_Building.jpg,Bluff,6,1,42003010300,6,1,2,2-4,40.43470365,-79.99489308
239855066,34-M-131,f,Bon Air Shelter,f,Shelter,Department of Public Works,306,CONNISTON AVE,,https://tools.wprdc.org/images/pittsburgh/facilities/Bon_Air_Shelter.jpg,Bon Air,4,18,42003562400,5,18,3,4-7,40.40745609,-79.99952324
1826821013,114-K-94,f,Marmaduke Concession Stand,f,Concession,Department of Public Works,3915,OSWALD ST,,https://tools.wprdc.org/images/pittsburgh/facilities/Marmaduke_Concession_Stand.jpg,Brighton Heights,1,27,42003270100,1,27,1,1-14,40.48477298,-80.04307528
877291770,115-E-40,f,Brighton Heights Field 6 Third Base Dugout,f,Dugout,Department of Public Works,NA,,,https://tools.wprdc.org/images/pittsburgh/facilities/Brighton_Heights_Field_6_Third_Base_Dugout.jpg,Brighton Heights,1,27,42003270800,1,27,1,1-14,40.48624086,-80.03008382
1096526197,115-E-40,f,Brighton Heights Park First Base Dugout,f,Dugout,Department of Public Works,NA,BRIGHTON WOODS RD,,https://tools.wprdc.org/images/pittsburgh/facilities/Brighton_Heights_Park_First_Base_Dugout.jpg,Brighton Heights,1,27,42003270800,1,27,1,1-14,40.4867019,-80.03141165
1524561463,115-J-118,f,Brighton Heights Concession Stand,f,Concession,CitiParks,NA,WEITZ WAY,15212,https://tools.wprdc.org/images/pittsburgh/facilities/Brighton_Heights_Concession_Stand.jpg,Brighton Heights,1,27,42003270800,1,27,1,1-14,40.48811837,-80.03329369
947584426,115-E-40,f,Brighton Heights Field 6 First Base Dugout,f,Dugout,Department of Public Works,NA,,,https://tools.wprdc.org/images/pittsburgh/facilities/Brighton_Heights_Field_6_First_Base_Dugout.jpg,Brighton Heights,1,27,42003270800,1,27,1,1-14,40.48619742,-80.0298885
661241282,115-E-40,f,Brighton Heights Pool Building,f,Pool,CitiParks,600,BRIGHTON WOODS RD,15212,https://tools.wprdc.org/images/pittsburgh/facilities/Brighton_Heights_Pool_Building.jpg,Brighton Heights,1,27,42003270800,1,27,1,1-14,40.48688428,-80.03102506
